tile,dec,ra
CFIS_LSB.007.241.r,30.5,4.0620723632502065
CFIS_LSB.007.242.r,31.0,4.083216890253657
CFIS_LSB.007.243.r,31.5,4.1048969381490314
CFIS_LSB.007.244.r,32.0,4.127124411767338
CFIS_LSB.007.245.r,32.5,4.1499116660195625
CFIS_LSB.007.246.r,33.0,4.173271524925816
CFIS_LSB.007.247.r,33.5,4.1972173016728425
CFIS_LSB.007.248.r,34.0,4.221762819763669
CFIS_LSB.007.249.r,34.5,4.2469224353277655
CFIS_LSB.007.250.r,35.0,4.272711060665096
CFIS_LSB.007.251.r,35.5,4.29914418910282
CFIS_LSB.007.252.r,36.0,4.326237921249263
CFIS_LSB.007.253.r,36.5,4.354008992736133
CFIS_LSB.007.254.r,37.0,4.38247480354679
CFIS_LSB.007.255.r,37.5,4.411653449035926
CFIS_LSB.008.227.r,23.5,4.361764416231885
CFIS_LSB.008.228.r,24.0,4.378545114024187
CFIS_LSB.008.229.r,24.5,4.395791478187746
CFIS_LSB.008.230.r,25.0,4.413511675849967
CFIS_LSB.008.231.r,25.5,4.431714176329866
CFIS_LSB.008.232.r,26.0,4.450407761900755
CFIS_LSB.008.233.r,26.5,4.469601539088952
CFIS_LSB.008.234.r,27.0,4.489304950537443
CFIS_LSB.008.235.r,27.5,4.50952778746537
CFIS_LSB.008.236.r,28.0,4.530280202756156
CFIS_LSB.008.237.r,28.5,4.551572724709321
CFIS_LSB.008.238.r,29.0,4.57341627149328
CFIS_LSB.008.239.r,29.5,4.595822166339002
CFIS_LSB.008.240.r,30.0,4.618802153517006
CFIS_LSB.008.241.r,30.5,4.642368415143093
CFIS_LSB.008.242.r,31.0,4.666533588861322
CFIS_LSB.008.243.r,31.5,4.691310786456036
CFIS_LSB.008.244.r,32.0,4.716713613448386
CFIS_LSB.008.245.r,32.5,4.742756189736642
CFIS_LSB.008.246.r,33.0,4.769453171343789
CFIS_LSB.008.247.r,33.5,4.796819773340392
CFIS_LSB.008.248.r,34.0,4.824871794015622
CFIS_LSB.008.249.r,34.5,4.853625640374589
CFIS_LSB.008.250.r,35.0,4.883098355045824
CFIS_LSB.008.251.r,35.5,4.913307644688937
CFIS_LSB.008.252.r,36.0,4.944271909999158
CFIS_LSB.008.253.r,36.5,4.976010277412723
CFIS_LSB.008.254.r,37.0,5.008542632624903
CFIS_LSB.008.255.r,37.5,5.041889656041058
CFIS_LSB.009.227.r,23.5,4.906984968260871
CFIS_LSB.009.228.r,24.0,4.92586325327721
CFIS_LSB.009.229.r,24.5,4.945265412961215
CFIS_LSB.009.230.r,25.0,4.965200635331213
CFIS_LSB.009.231.r,25.5,4.9856784483710985
CFIS_LSB.009.232.r,26.0,5.00670873213835
CFIS_LSB.009.233.r,26.5,5.028301731475071
CFIS_LSB.009.234.r,27.0,5.050468069354624
CFIS_LSB.009.235.r,27.5,5.07321876089854
CFIS_LSB.009.236.r,28.0,5.096565228100676
CFIS_LSB.009.237.r,28.5,5.120519315297986
CFIS_LSB.009.238.r,29.0,5.14509330542994
CFIS_LSB.009.239.r,29.5,5.170299937131378
CFIS_LSB.009.240.r,30.0,5.196152422706631
CFIS_LSB.009.241.r,30.5,5.22266446703598
CFIS_LSB.009.242.r,31.0,5.249850287468987
CFIS_LSB.009.243.r,31.5,5.27772463476304
CFIS_LSB.009.244.r,32.0,5.306302815129434
CFIS_LSB.009.245.r,32.5,5.335600713453723
CFIS_LSB.009.246.r,33.0,5.365634817761763
CFIS_LSB.009.247.r,33.5,5.39642224500794
CFIS_LSB.009.248.r,34.0,5.427980768267575
CFIS_LSB.009.249.r,34.5,5.4603288454214125
CFIS_LSB.009.250.r,35.0,5.493485649426552
CFIS_LSB.009.251.r,35.5,5.527471100275054
CFIS_LSB.009.252.r,36.0,5.562305898749053
CFIS_LSB.009.253.r,36.5,5.598011562089313
CFIS_LSB.009.254.r,37.0,5.634610461703016
CFIS_LSB.009.255.r,37.5,5.67212586304619
CFIS_LSB.010.227.r,23.5,5.452205520289857
CFIS_LSB.010.228.r,24.0,5.4731813925302335
CFIS_LSB.010.229.r,24.5,5.494739347734683
CFIS_LSB.010.230.r,25.0,5.516889594812459
CFIS_LSB.010.231.r,25.5,5.539642720412332
CFIS_LSB.010.232.r,26.0,5.563009702375944
CFIS_LSB.010.233.r,26.5,5.58700192386119
CFIS_LSB.010.234.r,27.0,5.6116311881718035
CFIS_LSB.010.235.r,27.5,5.636909734331712
CFIS_LSB.010.236.r,28.0,5.662850253445195
CFIS_LSB.010.237.r,28.5,5.689465905886651
CFIS_LSB.010.238.r,29.0,5.7167703393666
CFIS_LSB.010.239.r,29.5,5.744777707923753
CFIS_LSB.010.240.r,30.0,5.773502691896257
CFIS_LSB.010.241.r,30.5,5.802960518928866
CFIS_LSB.010.242.r,31.0,5.833166986076652
CFIS_LSB.010.243.r,31.5,5.864138483070045
CFIS_LSB.010.244.r,32.0,5.895892016810482
CFIS_LSB.010.245.r,32.5,5.928445237170803
CFIS_LSB.010.246.r,33.0,5.961816464179737
CFIS_LSB.010.247.r,33.5,5.99602471667549
CFIS_LSB.010.248.r,34.0,6.031089742519527
CFIS_LSB.010.249.r,34.5,6.067032050468236
CFIS_LSB.010.250.r,35.0,6.10387294380728
CFIS_LSB.010.251.r,35.5,6.141634555861171
CFIS_LSB.010.252.r,36.0,6.180339887498948
CFIS_LSB.010.253.r,36.5,6.220012846765904
CFIS_LSB.010.254.r,37.0,6.2606782907811285
CFIS_LSB.010.255.r,37.5,6.3023620700513225
CFIS_LSB.011.227.r,23.5,5.997426072318842
CFIS_LSB.011.228.r,24.0,6.0204995317832575
CFIS_LSB.011.229.r,24.5,6.044213282508151
CFIS_LSB.011.230.r,25.0,6.068578554293705
CFIS_LSB.011.231.r,25.5,6.093606992453565
CFIS_LSB.011.232.r,26.0,6.119310672613539
CFIS_LSB.011.233.r,26.5,6.145702116247309
CFIS_LSB.011.234.r,27.0,6.172794306988984
CFIS_LSB.011.235.r,27.5,6.200600707764883
CFIS_LSB.011.236.r,28.0,6.229135278789715
CFIS_LSB.011.237.r,28.5,6.258412496475316
CFIS_LSB.011.238.r,29.0,6.28844737330326
CFIS_LSB.011.239.r,29.5,6.319255478716128
CFIS_LSB.011.240.r,30.0,6.350852961085883
CFIS_LSB.011.241.r,30.5,6.383256570821753
CFIS_LSB.011.242.r,31.0,6.416483684684318
CFIS_LSB.011.243.r,31.5,6.450552331377049
CFIS_LSB.011.244.r,32.0,6.485481218491531
CFIS_LSB.011.245.r,32.5,6.521289760887884
CFIS_LSB.011.246.r,33.0,6.557998110597711
CFIS_LSB.011.247.r,33.5,6.595627188343038
CFIS_LSB.011.248.r,34.0,6.63419871677148
CFIS_LSB.011.249.r,34.5,6.6737352555150595
CFIS_LSB.011.250.r,35.0,6.714260238188008
CFIS_LSB.011.251.r,35.5,6.755798011447289
CFIS_LSB.011.252.r,36.0,6.798373876248843
CFIS_LSB.011.253.r,36.5,6.842014131442494
CFIS_LSB.011.254.r,37.0,6.886746119859241
CFIS_LSB.011.255.r,37.5,6.932598277056455
CFIS_LSB.012.227.r,23.5,6.542646624347828
CFIS_LSB.012.228.r,24.0,6.567817671036281
CFIS_LSB.012.229.r,24.5,6.593687217281619
CFIS_LSB.012.230.r,25.0,6.620267513774951
CFIS_LSB.012.231.r,25.5,6.647571264494799
CFIS_LSB.012.232.r,26.0,6.675611642851133
CFIS_LSB.012.233.r,26.5,6.704402308633428
CFIS_LSB.012.234.r,27.0,6.733957425806165
CFIS_LSB.012.235.r,27.5,6.7642916811980545
CFIS_LSB.012.236.r,28.0,6.795420304134234
CFIS_LSB.012.237.r,28.5,6.827359087063981
CFIS_LSB.012.238.r,29.0,6.860124407239921
CFIS_LSB.012.239.r,29.5,6.893733249508504
CFIS_LSB.012.240.r,30.0,6.928203230275509
CFIS_LSB.012.241.r,30.5,6.96355262271464
CFIS_LSB.012.242.r,31.0,6.999800383291983
CFIS_LSB.012.243.r,31.5,7.036966179684054
CFIS_LSB.012.244.r,32.0,7.075070420172579
CFIS_LSB.012.245.r,32.5,7.1141342846049636
CFIS_LSB.012.246.r,33.0,7.154179757015685
CFIS_LSB.012.247.r,33.5,7.195229660010588
CFIS_LSB.012.248.r,34.0,7.237307691023433
CFIS_LSB.012.249.r,34.5,7.280438460561883
CFIS_LSB.012.250.r,35.0,7.324647532568736
CFIS_LSB.012.251.r,35.5,7.369961467033406
CFIS_LSB.012.252.r,36.0,7.416407864998738
CFIS_LSB.012.253.r,36.5,7.464015416119085
CFIS_LSB.012.254.r,37.0,7.512813948937354
CFIS_LSB.012.255.r,37.5,7.562834484061587
CFIS_LSB.013.227.r,23.5,7.087867176376814
CFIS_LSB.013.228.r,24.0,7.115135810289304
CFIS_LSB.013.229.r,24.5,7.143161152055088
CFIS_LSB.013.230.r,25.0,7.171956473256197
CFIS_LSB.013.231.r,25.5,7.201535536536031
CFIS_LSB.013.232.r,26.0,7.231912613088728
CFIS_LSB.013.233.r,26.5,7.263102501019547
CFIS_LSB.013.234.r,27.0,7.295120544623345
CFIS_LSB.013.235.r,27.5,7.327982654631225
CFIS_LSB.013.236.r,28.0,7.361705329478754
CFIS_LSB.013.237.r,28.5,7.396305677652647
CFIS_LSB.013.238.r,29.0,7.431801441176581
CFIS_LSB.013.239.r,29.5,7.468211020300879
CFIS_LSB.013.240.r,30.0,7.505553499465134
CFIS_LSB.013.241.r,30.5,7.543848674607526
CFIS_LSB.013.242.r,31.0,7.583117081899648
CFIS_LSB.013.243.r,31.5,7.623380027991058
CFIS_LSB.013.244.r,32.0,7.664659621853627
CFIS_LSB.013.245.r,32.5,7.706978808322044
CFIS_LSB.013.246.r,33.0,7.750361403433658
CFIS_LSB.013.247.r,33.5,7.794832131678136
CFIS_LSB.013.248.r,34.0,7.840416665275385
CFIS_LSB.013.249.r,34.5,7.8871416656087066
CFIS_LSB.013.250.r,35.0,7.935034826949464
CFIS_LSB.013.251.r,35.5,7.984124922619523
CFIS_LSB.013.252.r,36.0,8.034441853748632
CFIS_LSB.013.253.r,36.5,8.086016700795675
CFIS_LSB.013.254.r,37.0,8.138881778015467
CFIS_LSB.013.255.r,37.5,8.193070691066719
CFIS_LSB.014.227.r,23.5,7.633087728405799
CFIS_LSB.014.228.r,24.0,7.662453949542328
CFIS_LSB.014.229.r,24.5,7.692635086828556
CFIS_LSB.014.230.r,25.0,7.723645432737443
CFIS_LSB.014.231.r,25.5,7.755499808577264
CFIS_LSB.014.232.r,26.0,7.788213583326322
CFIS_LSB.014.233.r,26.5,7.821802693405666
CFIS_LSB.014.234.r,27.0,7.856283663440525
CFIS_LSB.014.235.r,27.5,7.891673628064396
CFIS_LSB.014.236.r,28.0,7.927990354823273
CFIS_LSB.014.237.r,28.5,7.965252268241311
CFIS_LSB.014.238.r,29.0,8.00347847511324
CFIS_LSB.014.239.r,29.5,8.042688791093255
CFIS_LSB.014.240.r,30.0,8.08290376865476
CFIS_LSB.014.241.r,30.5,8.124144726500413
CFIS_LSB.014.242.r,31.0,8.166433780507314
CFIS_LSB.014.243.r,31.5,8.209793876298063
CFIS_LSB.014.244.r,32.0,8.254248823534676
CFIS_LSB.014.245.r,32.5,8.299823332039125
